Qty,Value,Device,Package,Tolerance,Rating,Parts,Description,Sorce,Price for 1,Price for 10,Price for 100,Link
4,1uF,0805ZC105JAT2A,C0805,5%,10V,"C1, C2, C3, C4","CAPACITOR, American symbol",LCSC,0.13,1.3,13,https://lcsc.com/product-detail/presales_AVX-0805ZC105JAT2A_C597441.html
4,,LEDCHIP-LED0805,CHIP-LED0805,,,"LED1, LED2, LED3, LED4",LED,LCSC,0.04,0.44,3.25,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_TOGIALED-TJ-S2005SW9TGLC6B-A5_C273624.html
3,,PINHD-1X8-3.5MM,1X08-3.5MM,,,"JP1, JP2, JP3",PIN HEADER,LCSC,0.05,0.52,3.8,https://lcsc.com/product-detail/Pin-Header-Female-Header_BOOMELE-Boom-Precision-Elec-C27438_C27438.html
1,CUS-13,SWITCH-SP3T-SMD,SWITCH_SP3T_SMD,,,S2,"Single-Pole, Triple-Throw (SP3T) Switch",LCSC,0.21,1.54,13.39,https://lcsc.com/product-detail/Toggle-Switches_Korean-Hroparts-Elec-K3-1336S-F1_C223851.html
1,AZ23C3V3,ZENER-DIODESOT23,SOT23,5%,3.3V,D1,Z-Diode,LCSC,0.16,1.55,4.56,https://lcsc.com/product-detail/Zener-Diodes_VISHAY_AZ23C3V3-E3-08_AZ23C3V3-E3-08_C143048.html
5,1k,R-US_M0805,M0805,5%,0.5W,"R1, R2, R3, R4, R5","RESISTOR, American symbol",LCSC,0.03,0.33,2.41,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJP06F1001V_C441981.html
1,64x128 OLED,WO12864C2-TFH,OLED-UG-2832TSWGG01,,,OLED1,Micro OLED,LCSC,,,,https://lcsc.com/product-detail/LCD-Displays-Modules_WO12864C2-TFH_C181933.html
1,EN11-HSM1BF20,EN11-HSM1BF20,EN11-HSM1BF20,,,S6,Rotary Encoder,LCSC,1.16,10.75,79.55,https://www.digikey.com/en/products/detail/tt-electronics-bi/EN11-HSM1BF20/2620667?s=N4IgTCBcDaIKIDkCMSC0AJAygWSQIQDEwAGEAXQF8g
1,ATMEGA328P_AU,ATMEGA328P_AU,TQFP32-08,,,U1,Popular 328P in QFP,LCSC,1.73,14.52,14.52,https://lcsc.com/product-detail/ATMEL-AVR_ATMEL_ATMEGA328P-AU_ATMEGA328P-AU_C14877.html
4,CD4007UBM,CD4007UBM,SOIC127P600X175-14N,,,"IC1, IC2, IC3, IC4","Texas Instruments CD4007UBM Inverter, 3  18 V, 14-Pin SOIC",Digikey,0.45,3.83,28.58,https://www.digikey.com/en/products/detail/texas-instruments/CD4007UBM/376601
1,MCP2200-I/SS,MCP2200-I/SS,SOP65P780X200-20N,,,U2,MCP2200 Series 5.5 V 8 Channel USB to UART Serial Converter SMT- SSOP-20LD Check prices,LCSC,2.88,21.45,60.3,https://lcsc.com/product-detail/Others_Microchip-Tech_MCP2200-I-SS_Microchip-Tech-MCP2200-I-SS_C220000.html
1,MINI-USB-SCHIELD-32005-301,MINI-USB-SCHIELD-32005-301,32005-301,,,X1,MINI USB-B Conector,LCSC,0.26,2.6,26,https://lcsc.com/product-detail/USB-Connectors_SHOU-HAN-MICRO5-9mmusb_C393940.html
4,TAC_SWITCHSMD,K2-1127SN-A4SW-01,TACTILE-SWITCH-SMD,,,"S1, S3, S4, S5",Momentary Switch,LCSC,0.02,0.8,8,https://lcsc.com/product-detail/Tactile-Switches_Korean-Hroparts-Elec-K2-1127SN-A4SW-01_C145886.html
1,LCC110STR,LCC110STR,SOIC254P952X47-8N,,,,Solid state relay,Digikey,6.12,59.52,573.17,https://lcsc.com/product-detail/Solid-State-Relays_IXYS-LCC110S_C461276.html
