"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SOURCELIBRARY";"SPICEPREFIX";"VENDOR";
"5";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";
"3";"";"NMOSSOT23";"SOT-23";"T4, T5, T6";"MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"5";"";"";"";"";"";
"1";"";"PINHD-1X8-3.5MM";"1X08-3.5MM";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"PMOSSOT23";"SOT-23";"T1, T2, T3";"MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"15";"";"";"";"";"";
"4";"10k";"R-US_R0805";"R0805";"R1, R2, R3, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"3";"1u";"C-USC0805";"C0805";"C1, C2, C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"1";"ATMEGA328PB-AU";"ATMEGA328PB-AU";"QFP80P900X900X120-32N";"U3";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32 Check prices";"";"";"Good";" 8-bit Microcontrollers - MCU ATMEGA328PB 20MHZ IND TEMP ";"";"";"";"Microchip Technology / Atmel";"";"";"ATMEGA328PB-AU";"";"";"";"None";"";"None";"https://pricing.snapeda.com/search/part/ATMEGA328PB-AU/?ref=eda";"";"";"";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"C77238";"C77238";"C77238";"USB1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"CD4007UBM";"CD4007UBM";"SOIC127P600X175-14N";"IC1, IC2, IC3";"Texas Instruments CD4007UBM Inverter, 3  18 V, 14-Pin SOIC";"CD4007UBM";"https://www.arrow.com/en/products/cd4007ubm/texas-instruments";"";"Texas Instruments CD4007UBM Inverter, 3  18 V, 14-Pin SOIC";"1.75mm";"Texas Instruments";"CD4007UBM";"";"595-CD4007UBM";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD4007UBM?qs=LfG3tU9ud8BhOMkMTdqqtw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"1";"CSTNE12M0G55A000R0";"CSTNE12M0G55A000R0";"CSTNE12M0G55A000R0";"Y1";"Resonators 12.0000MHz 33pF SMD CHP Resntr AUTO GRD";"CSTNE12M0G55A000R0";"https://www.arrow.com/en/products/cstne12m0g55a000r0/murata-manufacturing";"";"Resonators 12.0000MHz 33pF SMD CHP Resntr AUTO GRD";"0.8mm";"Murata Electronics";"CSTNE12M0G55A000R0";"";"81-CSTNE12M0G55A000R";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-CSTNE12M0G55A000R";"";"";"";"";"";"";"";"";"";"";"";
"1";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"U$1";"128x64 Dot Matrix OLED Module based on SSD1306 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EN11-HSM1BF20";"EN11-HSM1BF20";"EN11-HSM_TTE";"U4";"";"";"";"";"";"";"";"EN11-HSM1BF20";"";"";"";"";"";"";"";"";"";"";"";"TTELECTRONICS_2018-05-01A";"";"TT Electronics";
"1";"MCP2200-I/MQ";"MCP2200-I/MQ";"QFN65P500X500X100-21N";"U2";"MCP2200 Series 5.5 V SMT 8 Channel USB to UART Serial Converter-QFN-20LD Check prices";"";"";"Good";" USB Bridge, USB to UART USB 2.0 UART Interface 20-VQFN (5x5) ";"";"";"";"Microchip";"";"";"MCP2200-I/MQ";"";"";"";"VQFN-20 Microchip";"";"None";"https://pricing.snapeda.com/search/part/MCP2200-I/MQ/?ref=eda";"";"";"";
"1";"MIC5504-3.3YM5-T5";"MIC5504-3.3YM5-T5";"SOT95P280X145-5N";"U1";"Linear Voltage Regulator IC 1 Output 300mA SOT-23-5 Check prices";"";"";"Good";" Linear Voltage Regulator IC 1 Output 300mA SOT-23-5 ";"";"";"";"Microchip";"";"";"MIC5504-3.3YM5-T5";"";"";"";"SOT-23-5 Microchip";"";"None";"https://pricing.snapeda.com/search/part/MIC5504-3.3YM5-T5/?ref=eda";"";"";"";
